NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,RESIDENT TUITION,RESIDENT TUITION (2014$),NONRESIDENT TUITION,NONRESIDENT TUITION (2014$),PERCENT PAYING FULL TUITION
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2008-2009,"$14,741","$16,208","$26,624","$29,274",64.8%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2009-2010,"$15,581","$17,193","$28,565","$31,521",33.3%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2010-2011,"$16,421","$17,828","$30,485","$33,097",24.4%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2011-2012,"$17,378","$18,289","$32,522","$34,228",44.9%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2012-2013,"$18,094","$18,657","$34,486","$35,559",24.1%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2013-2014,"$19,006","$19,314","$36,910","$37,509",39.7%
"UNIVERSITY OF HAWAI&#8217;I AT MĀNOA, WILLIAM S. RICHARDSON SCHOOL OF LAW",1968,1974,PUBLIC,2014-2015,"$19,464","$19,464","$39,192","$39,192",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,1996-1997,"$3,308","$4,993","$8,960","$13,523",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,1997-1998,"$3,882","$5,725","$9,682","$14,279",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,1998-1999,"$4,076","$5,920","$10,076","$14,633",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,1999-2000,"$4,288","$6,094","$10,288","$14,621",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2000-2001,"$4,416","$6,071","$10,416","$14,320",N/A
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2001-2002,"$5,160","$6,899","$11,160","$14,921",59.5%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2002-2003,"$5,984","$7,876","$12,704","$16,720",71.3%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2003-2004,"$6,696","$8,617","$14,180","$18,248",66.9%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2004-2005,"$7,572","$9,490","$15,592","$19,542",62.1%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2005-2006,"$8,908","$10,798","$17,678","$21,430",57.9%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2006-2007,"$9,540","$11,203","$19,140","$22,477",54.6%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2007-2008,"$10,200","$11,646","$20,280","$23,155",57.8%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2008-2009,"$10,882","$11,965","$20,962","$23,049",65.9%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2009-2010,"$11,776","$12,995","$21,856","$24,118",69.6%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2010-2011,"$12,940","$14,049","$24,532","$26,634",67.0%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2011-2012,"$14,040","$14,776","$26,560","$27,953",74.9%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2012-2013,"$15,036","$15,504","$27,824","$28,690",68.2%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2013-2014,"$15,774","$16,030","$28,850","$29,318",62.1%
UNIVERSITY OF IDAHO COLLEGE OF LAW,1909,1925,PUBLIC,2014-2015,"$16,480","$16,480","$30,010","$30,010",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,1996-1997,"$4,632","$6,991","$9,264","$13,982",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,1997-1998,"$5,038","$7,430","$10,076","$14,860",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,1998-1999,"$5,450","$7,915","$10,900","$15,830",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,1999-2000,"$7,002","$9,951","$12,889","$18,318",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2000-2001,"$7,496","$10,305","$13,580","$18,669",N/A
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2001-2002,"$8,030","$10,736","$14,390","$19,239",79.1%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2002-2003,"$8,656","$11,392","$15,572","$20,495",77.4%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2003-2004,"$9,796","$12,606","$17,543","$22,576",78.3%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2004-2005,"$10,504","$13,165","$18,850","$23,626",78.6%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2005-2006,"$11,228","$13,611","$20,138","$24,412",79.1%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2006-2007,"$11,938","$14,019","$21,490","$25,236",77.1%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2007-2008,"$13,036","$14,884","$23,620","$26,969",81.6%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2008-2009,"$13,984","$15,376","$25,576","$28,122",52.8%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2009-2010,"$14,847","$16,383","$27,351","$30,181",49.3%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2010-2011,"$17,268","$18,747","$30,960","$33,612",54.2%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2011-2012,"$18,688","$19,668","$33,311","$35,058",69.2%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2012-2013,"$19,811","$20,427","$35,129","$36,222",66.1%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2013-2014,"$21,399","$21,746","$37,022","$37,623",64.4%
NORTHERN ILLINOIS UNIVERSITY COLLEGE OF LAW,1975,1978,PUBLIC,2014-2015,"$21,764","$21,764","$37,700","$37,700",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,1996-1997,"$5,330","$8,045","$13,954","$21,061",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,1997-1998,"$5,300","$7,817","$13,923","$20,534",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,1998-1999,"$5,654","$8,211","$14,884","$21,616",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,1999-2000,"$5,845","$8,307","$10,645","$15,129",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2000-2001,"$6,124","$8,419","$16,180","$22,244",N/A
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2001-2002,"$6,324","$8,455","$16,680","$22,301",61.4%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2002-2003,"$7,319","$9,633","$19,559","$25,742",55.1%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2003-2004,"$8,365","$10,765","$22,555","$29,026",58.9%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2004-2005,"$9,904","$12,413","$24,184","$30,311",43.4%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2005-2006,"$9,705","$11,765","$26,085","$31,621",40.1%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2006-2007,"$10,861","$12,754","$28,621","$33,611",47.3%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2007-2008,"$12,265","$14,004","$29,185","$33,322",50.9%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2008-2009,"$13,038","$14,336","$31,332","$34,451",51.2%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2009-2010,"$14,137","$15,600","$33,040","$36,459",55.2%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2010-2011,"$14,746","$16,009","$33,097","$35,932",59.2%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2011-2012,"$15,994","$16,833","$36,154","$38,050",56.0%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2012-2013,"$16,995","$17,524","$38,567","$39,767",50.1%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2013-2014,"$17,846","$18,135","$40,496","$41,153",27.9%
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF LAW,1973,1974,PUBLIC,2014-2015,"$19,160","$19,160","$43,320","$43,320",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,1996-1997,"$5,750","$8,679","$15,343","$23,157",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,1997-1998,"$7,568","$11,162","$17,640","$26,016",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,1998-1999,"$8,412","$12,217","$18,786","$27,283",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,1999-2000,"$9,300","$13,217","$20,090","$28,552",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2000-2001,"$10,286","$14,141","$22,280","$30,630",N/A
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2001-2002,"$10,790","$14,426","$22,688","$30,334",53.0%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2002-2003,"$12,874","$16,944","$25,962","$34,169",52.8%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2003-2004,"$14,610","$18,802","$27,222","$35,032",42.4%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2004-2005,"$15,888","$19,913","$28,224","$35,374",52.3%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2005-2006,"$17,512","$21,228","$28,416","$34,446",43.0%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2006-2007,"$20,512","$24,088","$31,718","$37,247",36.3%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2007-2008,"$26,056","$29,750","$36,056","$41,168",29.8%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2008-2009,"$31,262","$34,374","$39,262","$43,170",10.9%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2009-2010,"$36,420","$40,189","$43,420","$47,913",14.3%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2010-2011,"$36,420","$39,540","$43,420","$47,140",.6%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2011-2012,"$38,567","$40,590","$45,567","$47,957",5.6%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2012-2013,"$38,497","$39,695","$45,917","$47,345",5.1%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2013-2014,"$41,226","$41,895","$48,976","$49,770",2.8%
UNIVERSITY OF ILLINOIS COLLEGE OF LAW,1897,1923,PUBLIC,2014-2015,"$41,294","$41,294","$49,044","$49,044",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,1996-1997,"$5,556","$8,386","$15,290","$23,077",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,1997-1998,"$6,220","$9,173","$15,954","$23,530",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,1998-1999,"$6,717","$9,755","$17,229","$25,022",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,1999-2000,"$7,210","$10,247","$17,928","$25,479",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2000-2001,"$7,708","$10,597","$19,283","$26,510",N/A
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2001-2002,"$8,423","$11,261","$20,925","$27,976",32.4%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2002-2003,"$10,872","$14,309","$23,119","$30,427",29.9%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2003-2004,"$12,415","$15,977","$24,294","$31,264",30.9%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2004-2005,"$13,045","$16,350","$25,875","$32,430",30.1%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2005-2006,"$14,349","$17,394","$28,398","$34,424",27.9%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2006-2007,"$15,784","$18,536","$30,311","$35,595",29.6%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2007-2008,"$17,912","$20,451","$34,486","$39,375",19.9%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2008-2009,"$19,988","$21,978","$37,373","$41,093",21.7%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2009-2010,"$24,891","$27,467","$40,691","$44,901",7.7%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2010-2011,"$26,904","$29,209","$43,704","$47,448",5.9%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2011-2012,"$28,130","$29,605","$45,602","$47,994",7.1%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2012-2013,"$29,946","$30,878","$48,020","$49,514",17.6%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2013-2014,"$30,526","$31,021","$48,962","$49,756",9.1%
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,1842,1923,PUBLIC,2014-2015,"$31,121","$31,121","$49,926","$49,926",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,1996-1997,"$5,519","$8,330","$13,410","$20,240",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,1997-1998,"$6,017","$8,874","$14,618","$21,559",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,1998-1999,"$6,499","$9,438","$15,786","$22,926",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,1999-2000,"$6,602","$9,383","$15,744","$22,375",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2000-2001,"$7,220","$9,926","$17,094","$23,500",N/A
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2001-2002,"$8,481","$11,339","$18,540","$24,788",82.2%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2002-2003,"$9,390","$12,358","$18,741","$24,665",76.6%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2003-2004,"$10,145","$13,056","$20,335","$26,169",80.0%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2004-2005,"$11,661","$14,615","$24,472","$30,672",52.0%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2005-2006,"$12,758","$15,465","$26,852","$32,550",62.9%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2006-2007,"$13,962","$16,396","$29,457","$34,592",53.8%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2007-2008,"$14,638","$16,713","$31,993","$36,529",55.0%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2008-2009,"$19,473","$21,411","$38,911","$42,785",53.6%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2009-2010,"$18,163","$20,042","$38,478","$42,459",52.6%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2010-2011,"$20,554","$22,315","$43,646","$47,385",52.4%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2011-2012,"$22,323","$23,494","$43,821","$46,119",55.2%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2012-2013,"$23,473","$24,203","$42,610","$43,935",55.6%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2013-2014,"$24,172","$24,564","$43,882","$44,594",46.1%
"INDIANA UNVERSITY, ROBERT H. MCKINNEY SCHOOL OF LAW",1895,1944,PUBLIC,2014-2015,"$24,892","$24,892","$45,193","$45,193",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,1996-1997,"$5,166","$7,797","$14,020","$21,161",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,1997-1998,"$5,718","$8,433","$15,068","$22,223",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,1998-1999,"$6,510","$9,454","$16,426","$23,855",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,1999-2000,"$7,108","$10,102","$17,670","$25,113",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2000-2001,"$7,824","$10,756","$19,040","$26,176",N/A
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2001-2002,"$8,655","$11,572","$20,777","$27,779",68.9%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2002-2003,"$10,508","$13,830","$24,266","$31,937",68.3%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2003-2004,"$11,603","$14,932","$25,361","$32,637",68.0%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2004-2005,"$12,348","$15,476","$26,556","$33,284",60.7%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2005-2006,"$13,211","$16,015","$27,989","$33,929",60.5%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2006-2007,"$14,542","$17,077","$29,986","$35,214",64.3%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2007-2008,"$16,341","$18,658","$32,589","$37,209",69.7%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2008-2009,"$21,432","$23,566","$39,138","$43,034",67.9%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2009-2010,"$21,432","$23,650","$39,138","$43,188",69.5%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2010-2011,"$24,154","$26,223","$42,922","$46,599",50.5%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2011-2012,"$26,348","$27,730","$46,056","$48,471",32.0%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2012-2013,"$27,344","$28,195","$47,792","$49,279",13.9%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2013-2014,"$28,047","$28,502","$49,025","$49,820",21.9%
THE UNIVERSITY OF IOWA COLLEGE OF LAW,1865,1923,PUBLIC,2014-2015,"$23,760","$23,760","$41,296","$41,296",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,1996-1997,"$4,576","$6,907","$11,241","$16,966",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,1997-1998,"$4,690","$6,917","$11,620","$17,138",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,1998-1999,"$5,729","$8,320","$12,820","$18,618",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,1999-2000,"$6,530","$9,280","$13,557","$19,267",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2000-2001,"$7,182","$9,874","$14,866","$20,437",N/A
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2001-2002,"$6,520","$8,717","$13,359","$17,861",61.5%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2002-2003,"$7,239","$9,527","$14,354","$18,891",33.6%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2003-2004,"$7,966","$10,251","$15,351","$19,755",42.0%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2004-2005,"$8,725","$10,935","$16,573","$20,772",32.4%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2005-2006,"$9,528","$11,550","$17,859","$21,649",26.2%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2006-2007,"$10,399","$12,212","$19,232","$22,585",25.9%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2007-2008,"$13,384","$15,281","$24,085","$27,499",20.4%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2008-2009,"$15,033","$16,530","$26,376","$29,002",19.6%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2009-2010,"$14,478","$15,976","$25,375","$28,001",22.6%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2010-2011,"$15,561","$16,894","$27,038","$29,354",26.6%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2011-2012,"$16,460","$17,323","$28,648","$30,150",38.0%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2012-2013,"$18,664","$19,245","$31,474","$32,453",27.7%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2013-2014,"$19,623","$19,941","$33,067","$33,603",22.4%
UNIVERSITY OF KANSAS SCHOOL OF LAW,1893,1923,PUBLIC,2014-2015,"$19,985","$19,985","$34,089","$34,089",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,1996-1997,"$6,293","$9,498","$9,425","$14,225",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,1997-1998,"$6,623","$9,768","$9,813","$14,473",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,1998-1999,"$7,210","$10,471","$10,780","$15,656",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,1999-2000,"$7,068","$10,045","$10,624","$15,099",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2000-2001,"$7,712","$10,602","$11,996","$16,492",N/A
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2001-2002,"$8,506","$11,372","$13,742","$18,373",52.9%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2002-2003,"$9,262","$12,190","$15,170","$19,965",53.7%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2003-2004,"$9,814","$12,630","$16,086","$20,701",55.8%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2004-2005,"$10,766","$13,494","$17,682","$22,162",58.7%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2005-2006,"$11,830","$14,341","$19,418","$23,539",58.1%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2006-2007,"$12,698","$14,912","$20,846","$24,480",61.7%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2007-2008,"$14,950","$17,069","$23,320","$26,626",55.1%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2008-2009,"$16,345","$17,972","$25,490","$28,027",52.9%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2009-2010,"$16,150","$17,821","$25,150","$27,752",54.0%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2010-2011,"$16,630","$18,055","$25,900","$28,119",54.0%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2011-2012,"$17,290","$18,197","$26,950","$28,363",43.1%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2012-2013,"$17,980","$18,539","$28,030","$28,902",51.7%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2013-2014,"$18,880","$19,186","$29,440","$29,918",38.3%
WASHBURN UNIVERSITY SCHOOL OF LAW,1903,1923,PUBLIC,2014-2015,"$19,094","$19,094","$29,766","$29,766",N/A
"NORTHERN KENTUCKY UNIVERSITY, SALMON P. CHASE COLLEGE OF LAW",1893,1954,PUBLIC,1996-1997,"$4,700","$7,094","$12,300","$18,565",N/A
"NORTHERN KENTUCKY UNIVERSITY, SALMON P. CHASE COLLEGE OF LAW",1893,1954,PUBLIC,1997-1998,"$5,220","$7,699","$12,768","$18,831",N/A
"NORTHERN KENTUCKY UNIVERSITY, SALMON P. CHASE COLLEGE OF LAW",1893,1954,PUBLIC,1998-1999,"$5,390","$7,828","$14,000","$20,332",N/A
